lieu;titre;adresse;ville;code_postal;code_insee
mediatheque de la canopee la fontaine;atelier parents-enfants;10 passage de la canopee;paris;75001;75101
le baiser sale;#lajamdetouslesjazz jam session animee par francois constantin speciale gretchen parlato;58 rue des lombards;paris;75001;75101
supersonic;djiin  occult hand order  red cloud;9 rue biscornet;paris;75012;75112
le mouffetard, theatre des arts de la marionnette;celle qui marche loin;73 rue mouffetard;paris;75005;75105
theatre darius milhaud;le monte-plats;80 allee darius milhaud;paris;75019;75119
creche collective laure diebold;les samedis en famille  creche laure diebold;20 rue laure diebold;paris;75008;75108
creche de la garenne;les samedis en famille  la creche la garenne;1 place de la garenne;paris;75014;75114
pavillon carre de baudouin;avec  desmemoria , laetitia tura donne a voir lexil et sa memoire, hier et aujourdhui;121 rue de menilmontant;paris;75020;75120
esi familles pitard;paris 15e : ou donner vos vetements a paris;4 rue georges pitard;paris;75015;75115
le baiser sale;mario canonge/michel zenino quint'up;58 rue des lombards;paris;75001;75101
auditorium de radio france;chostakovitch, concerto n 2, gluzman / petrenko;116 avenue du president kennedy;paris;75016;
le baiser sale;#jazzdedemain - hugo corbin;58 rue des lombards;paris;75001;75101
theatre de la ville - espace cardin;phedre;1 avenue gabriel;paris;75008;75108
sunset & sunside;hommage a dizzy gillespie avec laurent courthaliac + jam session;60 rue des lombards;paris;75001;75101
le baiser sale;"""live - open mic"" the moon night avec mounir katche";58 rue des lombards;paris;75001;75101
hippodrome de longchamp;solidays;2 routes des tribunes;paris;75016;
bar des halles;le 14 fevrier, fetez la st valentin avec vos amis en plein coeur de paris;71 rue saint honore;paris;75001;75101
la gaite lyrique;(de)jouer le reel;3bis rue papin;paris;75003;75103
theatre ouvert;comme la mer, mon amour;159 avenue gambetta;paris;75020;75120
la maroquinerie;miami horror  la maroquinerie, paris;23 rue boyer;paris;75020;75120
bibliotheque du tourisme et des voyages - germaine tillion (btv);exposition : a portee de train;6 rue du commandant schloesing;paris;75016;
bibliotheque arthur rimbaud;jeu de piste : chicorelys ou l'epopee des plantes magiques...;2 place baudoyer;paris;75004;75104
bibliotheque marguerite audoux;jeu de piste : chicorelys ou lepopee des plantes magiques...;10 rue portefoin;paris;75003;75103
philharmonie de paris;philippe lancon / la musique comme preuve de vie;221 avenue jean jaures;paris;75019;75119
sand fabrik;beautiful skin - tea dance naturiste - sand fabrik;45 rue delizy;pantin;93500;93055
arta, association de recherche des traditions de l'acteur;journee d'etudes sur le theme du tarentisme;6 rte du champ de manuvre;paris;75012;75112
cinema les 7 parnassiens;projection de la competition paroles de femmes;98 bd du montparnasse;paris;75014;75114
