ID;titre;chapeau;mots_cles;type_prix;date_debut;date_fin;nb_occurrences;acces_PMR;acces_mal_voyant;acces_mal_entendant;lieu;url;code_insee
15762;la photographie a paris;"programme du cycle de conferences ""la photographie a paris"". saison 2 : etre photographe a paris.";conference;gratuit;2022-06-05;2022-06-06;;1;0;0;archives de paris - salle paul verlaine;https://www.paris.fr/evenements/la-photographie-a-paris-15762;75119
10893;club de lecture adulte;"une tasse de the ou de litte' ? venez les partager ! 
belles decouvertes de romans et bds dans une ambiance conviviale ou enflammee, c'est selon !";litterature;gratuit;2022-06-05;2022-06-06;10;0;0;0;bibliotheque sorbier;https://www.paris.fr/evenements/club-de-lecture-adulte-10893;75120
16293;l'heure du conte pour les bebes;des livres, des chansons, des comptines, des jeux de doigts... des tapis, des peluches, les bras rassurants et enveloppants d'un adulte... et bebe est pret pour l'heure du conte !;enfants;gratuit;2022-06-05;2022-06-06;10;0;0;1;bibliotheque louise walser-gaillard;https://www.paris.fr/evenements/l-heure-du-conte-pour-les-bebes-16293;75109
16639;anita molinero - extrudia;le musee dart moderne de paris presente la premiere retrospective consacree a anita molinero dans une institution parisienne. cette exposition retrace les differentes phases de son evolution artistique : des premieres uvres de la fin des annees 1980  certaines, disparues, seront reproduites en photographie  jusqua ses dernieres realisations, notamment plusieurs productions realisees pour loccasion.;expo;payant;2022-06-05;2022-06-06;;0;0;0;musee d'art moderne;https://www.paris.fr/evenements/anita-molinero-extrudia-16639;75116
11836;canape club - club de lecture ado;rendez-vous une fois par mois pour discuter de vos dernieres lectures, series ou films coups de cur !;atelier;gratuit;2022-06-05;2022-06-06;12;1;1;0;mediatheque marguerite duras;https://www.paris.fr/evenements/club-de-lecture-ado-de-la-mediatheque-11836;75120
15909;"exposition ""poemes a voir"" a la bibliotheque italie";exposition, ateliers et lectures : des evenements artistiques bases sur le dialogue des uvres plastiques de joanna peiron et des textes poetiques de denis peiron;expo;gratuit;2022-06-05;2022-06-06;;1;0;0;bibliotheque italie;https://www.paris.fr/evenements/exposition-poemes-a-voir-a-la-bibliotheque-italie-15909;75113
14952;ateliers permanences numeriques association colombbus;"un peu perdu face a votre smartphone / tablette / ordinateur ?
un specialiste vous aide et vous accompagne dans le dedale du numerique !";atelier;gratuit;2022-06-05;2022-06-06;52;1;0;0;mediatheque francoise sagan;https://www.paris.fr/evenements/ateliers-permanences-numeriques-association-colombbus-14952;75110
16952;formation - presenter et reecrire son scenario;cinq jours pour connaitre et acquerir les bases de lecriture dun scenario dun court metrage de fiction.;cinema;payant;2022-06-05;2022-06-06;10;1;0;0;la camillienne;https://www.paris.fr/evenements/formation-presenter-et-reecrire-son-scenario-16952;75112
17341;"atelier ""a crocs"" (3-5 ans)";connaissez-vous laury et dundy ? les yeux rouges et la peau blanche, ces 2 alligators albinos sont loin de ressembler aux crocodiliens que lon connait si bien.;non renseigne;payant;2022-06-05;2022-06-06;14;1;0;0;palais de la porte doree - aquarium tropical;https://www.paris.fr/evenements/atelier-a-crocs-3-5-ans-17341;75112
17092;on joue dans les bibliotheques du 5eme arrondissement;crime et jeu font bon menage dans le roman d'enigme ou indices riment parfois avec fausses pistes...venez tester vos petites cellules grises a la bilipo ! parents, enfants, ados et adultes, n'hesitez pas, on vous attend.;non renseigne;gratuit;2022-06-05;2022-06-06;2;1;0;0;bibliotheque des litteratures policieres bilipo;https://www.paris.fr/evenements/on-joue-dans-les-bibliotheques-du-5eme-arrondissement-17092;75105
18026;aqua mater - une exposition de sebastiao salgado dans un pavillon en bambou !;au cours de sa quete exhaustive des peuples et des paysages premiers damazonie, dislande, de larctique... le photographe sebastiao salgado a cotoye toutes les expressions de leau, et en a eprouve toutes les fragilites. muni de son appareil photo, il a capture leau au cur de paysages uniques, plus precieux les uns que les autres, et nous les presente lors de lexposition aqua mater.;expo;payant;2022-06-05;2022-06-06;;0;0;0;parvis de la defense;https://www.paris.fr/evenements/aqua-mater-une-exposition-de-sebastiao-salgado-dans-un-pavillon-en-bambou-18026;92026
17453;audition des eleves de musique ensemble 20eme;musique ensemble 20 est une ecole de musique associative implantee dans le 20e arrondissement. elle propose aux enfants, adolescents et adultes des cours dinstruments et des ateliers dorchestres amateurs.;musique;gratuit;2022-06-05;2022-06-06;2;1;1;0;mediatheque marguerite duras;https://www.paris.fr/evenements/audition-des-eleves-de-musique-ensemble-20eme-17453;75120
11962;les histoires de bidouille a la bibliotheque benoite groult;"et si on ecoutait des histoires ?

un mercredi par mois, a 17h (a partir du mois d'avril), bidouille et ses bibliothecaires lisent une selection d'albums et de contes pour les enfants a partir de 4 ans.

venez decouvrir ou vous regaler a nouveau des tresors de la litterature jeunesse.";enfants;gratuit;2022-06-05;2022-06-06;6;1;0;0;bibliotheque benoite groult;https://www.paris.fr/evenements/les-histoires-de-bidouille-11962;75114
18305;"""west side story"" & leonard bernstein";"midnight in paris avec dmitry baevsky
nouveau rendez-vous au sunside chaque samedi a partir de minuit avec la team a barlyod's. un hommage a un film culte, un compositeur pour le cinema, une comedie musicale...";musique;gratuit sous condition;2022-06-05;2022-06-06;2;0;0;0;sunset & sunside;https://www.paris.fr/evenements/west-side-story-leonard-bernstein-18305;75101
